"alloc_method","adjusted","rerandomized","power.pvalue","power.rerand","power.ci","coverage","bias","segt1k","nsim","time_elapsed","modelno","method_name","trial_size","outcome_type","outcome_marginal_prevalence","prognostic_factor_number","prognostic_factor_type","prognostic_factor_prevalence","bT","bZ","alpha","prognostic_factor_effect_size","treatment_assignment_effect_size","entry_time_effect_size","allocation_ratio"
"CR","1","0","            0.068","            0.000","            0.070","            0.930","-118646085642.609","            0.246","5010","32.64","1","CR_REG_ADJ",32,"binary",0.1,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"SBR","1","0","            0.073","            0.000","            0.076","            0.924","           10.234","            0.242","5010","38.3","1","SBR_REG_ADJ",32,"binary",0.1,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","1","0","            0.068","            0.000","            0.070","            0.930","-118646085642.609","            0.246","5010","189.81","1","CAA-MI-2-PBA-0.70_REG_ADJ",32,"binary",0.1,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"CR","0","0","            0.001","            0.000","            0.001","            0.999","            0.040","            0.302","5010","26.63","1","CR_REG_UN",32,"binary",0.1,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"SBR","0","0","            0.000","            0.000","            0.000","            1.000","            0.034","            0.299","5010","34.14","1","SBR_REG_UN",32,"binary",0.1,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","0","0","            0.001","            0.000","            0.001","            0.999","            0.040","            0.302","5010","185.92","1","CAA-MI-2-PBA-0.70_REG_UN",32,"binary",0.1,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
CR,1,0, 0.030, 0.000, 0.040, 0.960, 0.019, 0.000,5010,27.6,2,CR_REG_ADJ,32,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
SBR,1,0, 0.029, 0.000, 0.042, 0.958,-0.001, 0.000,5010,34.27,2,SBR_REG_ADJ,32,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.030, 0.000, 0.040, 0.960, 0.019, 0.000,5010,186.5,2,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CR,0,0, 0.028, 0.000, 0.044, 0.956, 0.014, 0.000,5010,24.44,2,CR_REG_UN,32,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
SBR,0,0, 0.026, 0.000, 0.052, 0.948,-0.003, 0.000,5010,31.74,2,SBR_REG_UN,32,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.028, 0.000, 0.044, 0.956, 0.014, 0.000,5010,184.16,2,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CR,1,0,           0.126,           0.000,           0.138,           0.862,821273675331.912,           0.083,5010,30.33,3,CR_REG_ADJ,32,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
SBR,1,0,           0.126,           0.000,           0.140,           0.860,464883332201.199,           0.059,5010,37.2,3,SBR_REG_ADJ,32,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,0,           0.126,           0.000,           0.138,           0.862,821273675331.912,           0.083,5010,188.91,3,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
CR,0,0,           0.004,           0.000,           0.007,           0.993,          -0.081,           0.113,5010,24.89,3,CR_REG_UN,32,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
SBR,0,0,           0.002,           0.000,           0.003,           0.997,           0.004,           0.086,5010,32.02,3,SBR_REG_UN,32,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,0,0,           0.004,           0.000,           0.007,           0.993,          -0.081,           0.113,5010,183.76,3,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
CR,1,0, 0.050, 0.000, 0.060, 0.940,-1.387, 0.001,5010,28.08,4,CR_REG_ADJ,32,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
SBR,1,0, 0.046, 0.000, 0.059, 0.941,-0.065, 0.000,5010,34.39,4,SBR_REG_ADJ,32,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.050, 0.000, 0.060, 0.940,-1.387, 0.001,5010,185.73,4,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
CR,0,0, 0.029, 0.000, 0.045, 0.955, 0.011, 0.000,5010,24.58,4,CR_REG_UN,32,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
SBR,0,0, 0.013, 0.000, 0.029, 0.971, 0.009, 0.000,5010,31.77,4,SBR_REG_UN,32,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.029, 0.000, 0.045, 0.955, 0.011, 0.000,5010,182.55,4,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
CR,1,0,            0.067,            0.000,            0.069,            0.932,-118646085640.615,            0.249,5010,31.27,5,CR_REG_ADJ,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,1,0,            0.074,            0.000,            0.076,            0.925,            7.246,            0.245,5010,38.66,5,SBR_REG_ADJ,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0,            0.067,            0.000,            0.069,            0.932,-118646085640.615,            0.249,5010,189.03,5,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,0,0,            0.001,            0.000,            0.002,            0.999,            0.450,            0.304,5010,26.77,5,CR_REG_UN,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,0,0,            0.000,            0.000,            0.000,            1.000,            0.501,            0.301,5010,34.43,5,SBR_REG_UN,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0,            0.001,            0.000,            0.002,            0.999,            0.450,            0.304,5010,185.12,5,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,1,0,0.028,0.000,0.039,0.963,0.032,0.000,5010,27.61,6,CR_REG_ADJ,32,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,1,0,0.026,0.000,0.037,0.965,0.024,0.000,5010,34.5,6,SBR_REG_ADJ,32,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
