"alloc_method","adjusted","rerandomized","power.pvalue","power.rerand","power.ci","coverage","bias","segt1k","nsim","time_elapsed","modelno","method_name","trial_size","outcome_type","outcome_marginal_prevalence","prognostic_factor_number","prognostic_factor_type","prognostic_factor_prevalence","bT","bZ","alpha","prognostic_factor_effect_size","treatment_assignment_effect_size","entry_time_effect_size","allocation_ratio"
"CR","1","0"," 0.051297"," 0.000000"," 0.061677"," 0.938323","-0.009033"," 0.000000","5010","20.79","1","CR_REG_ADJ",32,"continuous",777,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"SBR","1","0"," 0.051697"," 0.000000"," 0.061277"," 0.938723","-0.002564"," 0.000000","5010","25.91","1","SBR_REG_ADJ",32,"continuous",777,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","1","0"," 0.051297"," 0.000000"," 0.061677"," 0.938323","-0.009033"," 0.000000","5010","171.4","1","CAA-MI-2-PBA-0.70_REG_ADJ",32,"continuous",777,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"CR","0","0"," 0.048104"," 0.000000"," 0.058882"," 0.941118","-0.006224"," 0.000000","5010","15.51","1","CR_REG_UN",32,"continuous",777,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"SBR","0","0"," 0.054491"," 0.000000"," 0.063473"," 0.936527","-0.004241"," 0.000000","5010","22.56","1","SBR_REG_UN",32,"continuous",777,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","0","0"," 0.048104"," 0.000000"," 0.058882"," 0.941118","-0.006224"," 0.000000","5010","169.66","1","CAA-MI-2-PBA-0.70_REG_UN",32,"continuous",777,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","1","1"," 0.048902"," 0.053693"," 0.000000"," 1.000000","-0.009033"," 0.000000","5010","147555.38","1","CAA-MI-2-PBA-0.70_RERAND_ADJ",32,"continuous",777,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
CR,1,0, 0.051297, 0.000000, 0.061677, 0.938323,-0.009033, 0.000000,5010,18.72,2,CR_REG_ADJ,32,continuous,777,2,continuous,777,0,0,0.05,3,1,1,0.5
SBR,1,0, 0.051697, 0.000000, 0.061277, 0.938723,-0.002564, 0.000000,5010,25.69,2,SBR_REG_ADJ,32,continuous,777,2,continuous,777,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.051297, 0.000000, 0.061677, 0.938323,-0.009033, 0.000000,5010,171.29,2,CAA-MI-2-PBA-0.70_REG_ADJ,32,continuous,777,2,continuous,777,0,0,0.05,3,1,1,0.5
CR,0,0, 0.048902, 0.000000, 0.060479, 0.939521, 0.002456, 0.000000,5010,15.8,2,CR_REG_UN,32,continuous,777,2,continuous,777,0,0,0.05,3,1,1,0.5
SBR,0,0, 0.006986, 0.000000, 0.009381, 0.990619,-0.000921, 0.000000,5010,22.31,2,SBR_REG_UN,32,continuous,777,2,continuous,777,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.048902, 0.000000, 0.060479, 0.939521, 0.002456, 0.000000,5010,169.3,2,CAA-MI-2-PBA-0.70_REG_UN,32,continuous,777,2,continuous,777,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.048902, 0.053693, 0.000000, 1.000000,-0.009033, 0.000000,5010,150153.23,2,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,continuous,777,2,continuous,777,0,0,0.05,3,1,1,0.5
CR,1,0, 0.060080, 0.000000, 0.070259, 0.938323,-0.009033, 0.000000,5010,18.38,3,CR_REG_ADJ,32,continuous,777,2,continuous,777,0,0.1,0.05,1.1,1.1,1,0.5
SBR,1,0, 0.061277, 0.000000, 0.073253, 0.938723,-0.002564, 0.000000,5010,25.65,3,SBR_REG_ADJ,32,continuous,777,2,continuous,777,0,0.1,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.060080, 0.000000, 0.070259, 0.938323,-0.009033, 0.000000,5010,171.37,3,CAA-MI-2-PBA-0.70_REG_ADJ,32,continuous,777,2,continuous,777,0,0.1,0.05,1.1,1.1,1,0.5
CR,0,0, 0.058882, 0.000000, 0.069261, 0.941118,-0.006224, 0.000000,5010,15.88,3,CR_REG_UN,32,continuous,777,2,continuous,777,0,0.1,0.05,1.1,1.1,1,0.5
SBR,0,0, 0.062475, 0.000000, 0.074251, 0.936527,-0.004241, 0.000000,5010,22.82,3,SBR_REG_UN,32,continuous,777,2,continuous,777,0,0.1,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.058882, 0.000000, 0.069261, 0.941118,-0.006224, 0.000000,5010,168.42,3,CAA-MI-2-PBA-0.70_REG_UN,32,continuous,777,2,continuous,777,0,0.1,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.057086, 0.058084, 0.000000, 1.000000,-0.009033, 0.000000,5010,151443.3,3,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,continuous,777,2,continuous,777,0,0.1,0.05,1.1,1.1,1,0.5
CR,1,0, 0.060080, 0.000000, 0.070259, 0.938323,-0.009033, 0.000000,5010,18.81,4,CR_REG_ADJ,32,continuous,777,2,continuous,777,0,0.1,0.05,3,1.1,1,0.5
SBR,1,0, 0.061277, 0.000000, 0.073253, 0.938723,-0.002564, 0.000000,5010,25.54,4,SBR_REG_ADJ,32,continuous,777,2,continuous,777,0,0.1,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.060080, 0.000000, 0.070259, 0.938323,-0.009033, 0.000000,5010,171.18,4,CAA-MI-2-PBA-0.70_REG_ADJ,32,continuous,777,2,continuous,777,0,0.1,0.05,3,1.1,1,0.5
CR,0,0, 0.051098, 0.000000, 0.058084, 0.939521, 0.002456, 0.000000,5010,16.01,4,CR_REG_UN,32,continuous,777,2,continuous,777,0,0.1,0.05,3,1.1,1,0.5
SBR,0,0, 0.008184, 0.000000, 0.010180, 0.990619,-0.000921, 0.000000,5010,22.63,4,SBR_REG_UN,32,continuous,777,2,continuous,777,0,0.1,0.05,3,1.1,1,0.5
