"alloc_method","adjusted","rerandomized","power.pvalue","power.rerand","power.ci","coverage","bias","segt1k","nsim","time_elapsed","modelno","method_name","trial_size","outcome_type","outcome_marginal_prevalence","prognostic_factor_number","prognostic_factor_type","prognostic_factor_prevalence","bT","bZ","alpha","prognostic_factor_effect_size","treatment_assignment_effect_size","entry_time_effect_size","allocation_ratio"
"CR","1","0","0.009","0.000","0.011","0.989","0.082","0.335","5010","32.1","1","CR_REG_ADJ",32,"binary",0.1,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"SBR","1","0","0.006","0.000","0.007","0.993","0.116","0.298","5010","37.38","1","SBR_REG_ADJ",32,"binary",0.1,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","1","0","0.007","0.000","0.009","0.991","0.141","0.322","5010","83.67","1","CAA-MI-2-PBA-0.70_REG_ADJ",32,"binary",0.1,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"CR","0","0","0.001","0.000","0.001","0.999","0.133","0.321","5010","26.31","1","CR_REG_UN",32,"binary",0.1,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"SBR","0","0","0.000","0.000","0.000","1.000","0.056","0.294","5010","31.05","1","SBR_REG_UN",32,"binary",0.1,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","0","0","0.000","0.000","0.001","0.999","0.116","0.315","5010","77.89","1","CAA-MI-2-PBA-0.70_REG_UN",32,"binary",0.1,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","1","1","0.087","0.075","0.000","1.000","0.141","0.000","5010","78689.21","1","CAA-MI-2-PBA-0.70_RERAND_ADJ",32,"binary",0.1,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
CR,1,0, 0.028, 0.000, 0.037, 0.963, 0.019, 0.001,5010,25.25,2,CR_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0,0.05,1.1,1,1,0.5
SBR,1,0, 0.031, 0.000, 0.042, 0.958,-0.013, 0.001,5010,32.15,2,SBR_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.028, 0.000, 0.036, 0.964,-0.010, 0.000,5010,76.73,2,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0,0.05,1.1,1,1,0.5
