"alloc_method","adjusted","rerandomized","power.pvalue","power.rerand","power.ci","coverage","bias","nsim","time_elapsed","modelno","method_name","trial_size","outcome_type","outcome_marginal_prevalence","prognostic_factor_number","prognostic_factor_type","prognostic_factor_prevalence","bT","bZ","alpha","prognostic_factor_effect_size","treatment_assignment_effect_size","entry_time_effect_size","allocation_ratio"
CAA-MI-2-PBA-0.70,0,0, 0.029, 0.000, 0.045, 0.955, 0.003,5008,182.55,4,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
CR,1,0, 0.089, 0.000, 0.091, 0.909,-2.415,3765,31.27,5,CR_REG_ADJ,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,1,0, 0.098, 0.000, 0.101, 0.900, 8.891,3785,38.66,5,SBR_REG_ADJ,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.089, 0.000, 0.091, 0.909,-2.415,3765,189.03,5,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,0,0, 0.001, 0.000, 0.002, 0.998,-0.046,3489,26.77,5,CR_REG_UN,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,0,0, 0.000, 0.000, 0.001, 1.000,-0.039,3500,34.43,5,SBR_REG_UN,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.001, 0.000, 0.002, 0.998,-0.046,3489,185.12,5,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,1,0,0.028,0.000,0.039,0.963,0.032,5010,27.61,6,CR_REG_ADJ,32,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,1,0,0.026,0.000,0.037,0.965,0.024,5010,34.5,6,SBR_REG_ADJ,32,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0,0.028,0.000,0.039,0.963,0.032,5010,185.06,6,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,0,0,0.028,0.000,0.046,0.962,0.016,5010,24.74,6,CR_REG_UN,32,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,0,0,0.023,0.000,0.048,0.968,0.013,5010,31.68,6,SBR_REG_UN,32,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0,0.028,0.000,0.046,0.962,0.016,5010,182.37,6,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,1,0, 0.135, 0.000, 0.146, 0.855,-1.126,4585,30.27,7,CR_REG_ADJ,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,1,0, 0.131, 0.000, 0.146, 0.857, 5.136,4712,37.26,7,SBR_REG_ADJ,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.135, 0.000, 0.146, 0.855,-1.126,4585,188.23,7,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,0,0, 0.005, 0.000, 0.008, 0.993,-0.022,4444,25.13,7,CR_REG_UN,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,0,0, 0.003, 0.000, 0.005, 0.996,-0.039,4573,32.03,7,SBR_REG_UN,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.005, 0.000, 0.008, 0.993,-0.022,4444,183.15,7,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,1,0, 0.051, 0.000, 0.061, 0.938,-1.652,5006,27.91,8,CR_REG_ADJ,32,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,1,0, 0.050, 0.000, 0.063, 0.939, 0.051,5009,35.22,8,SBR_REG_ADJ,32,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.051, 0.000, 0.061, 0.938,-1.652,5006,187.29,8,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,0,0, 0.029, 0.000, 0.044, 0.960,-0.018,5008,24.45,8,CR_REG_UN,32,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,0,0, 0.014, 0.000, 0.030, 0.978,-0.011,5009,31.78,8,SBR_REG_UN,32,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.029, 0.000, 0.044, 0.960,-0.018,5008,183.49,8,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,1,0,           0.102,           0.000,           0.110,           0.868,          33.394,3296,31.62,9,CR_REG_ADJ,32,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
SBR,1,0,           0.102,           0.000,           0.107,           0.863,131709463802.528,3333,39.04,9,SBR_REG_ADJ,32,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CAA-MI-2-PBA-0.70,1,0,           0.102,           0.000,           0.110,           0.868,          33.394,3296,189.64,9,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CR,0,0,           0.009,           0.000,           0.015,           0.950,          -0.451,3065,27.84,9,CR_REG_UN,32,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
SBR,0,0,           0.005,           0.000,           0.007,           0.952,          -0.458,3076,35.28,9,SBR_REG_UN,32,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CAA-MI-2-PBA-0.70,0,0,           0.009,           0.000,           0.015,           0.950,          -0.451,3065,186.33,9,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CR,1,0,0.220,0.000,0.254,0.966,0.296,4997,27.16,10,CR_REG_ADJ,32,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
SBR,1,0,0.243,0.000,0.280,0.966,0.665,5000,34.57,10,SBR_REG_ADJ,32,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CAA-MI-2-PBA-0.70,1,0,0.220,0.000,0.254,0.966,0.296,4997,184.84,10,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CR,0,0,0.235,0.000,0.303,0.964,0.086,4997,24.38,10,CR_REG_UN,32,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
SBR,0,0,0.235,0.000,0.329,0.963,0.096,4999,31.7,10,SBR_REG_UN,32,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CAA-MI-2-PBA-0.70,0,0,0.235,0.000,0.303,0.964,0.086,4997,181.9,10,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CR,1,0, 0.200, 0.000, 0.218, 0.851,18.995,4416,30.22,11,CR_REG_ADJ,32,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
SBR,1,0, 0.198, 0.000, 0.219, 0.857,29.431,4488,37.33,11,SBR_REG_ADJ,32,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.200, 0.000, 0.218, 0.851,18.995,4416,189.05,11,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
CR,0,0, 0.025, 0.000, 0.036, 0.961,-0.390,4241,25.37,11,CR_REG_UN,32,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
SBR,0,0, 0.014, 0.000, 0.022, 0.974,-0.353,4357,32.38,11,SBR_REG_UN,32,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.025, 0.000, 0.036, 0.961,-0.390,4241,184.03,11,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
CR,1,0, 0.181, 0.000, 0.212, 0.934,13.611,5005,28.21,12,CR_REG_ADJ,32,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
SBR,1,0, 0.193, 0.000, 0.225, 0.941, 1.893,5005,34.98,12,SBR_REG_ADJ,32,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.181, 0.000, 0.212, 0.934,13.611,5005,186.96,12,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
CR,0,0, 0.116, 0.000, 0.164, 0.940,-0.280,5006,24.5,12,CR_REG_UN,32,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
SBR,0,0, 0.097, 0.000, 0.161, 0.961,-0.270,5007,31.73,12,SBR_REG_UN,32,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.116, 0.000, 0.164, 0.940,-0.280,5006,183.28,12,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
CR,1,0,0.025,0.000,0.028,0.972,0.009,4933,31.65,13,CR_REG_ADJ,96,binary,0.1,2,continuous,777,0,0,0.05,1.1,1,1,0.5
SBR,1,0,0.022,0.000,0.024,0.976,0.015,4943,43.11,13,SBR_REG_ADJ,96,binary,0.1,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,1,0,0.025,0.000,0.028,0.972,0.009,4933,1656.05,13,CAA-MI-2-PBA-0.70_REG_ADJ,96,binary,0.1,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CR,0,0,0.018,0.000,0.020,0.980,0.008,4933,28.07,13,CR_REG_UN,96,binary,0.1,2,continuous,777,0,0,0.05,1.1,1,1,0.5
SBR,0,0,0.017,0.000,0.019,0.981,0.007,4943,39.45,13,SBR_REG_UN,96,binary,0.1,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,0,0,0.018,0.000,0.020,0.980,0.008,4933,1652.33,13,CAA-MI-2-PBA-0.70_REG_UN,96,binary,0.1,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CR,1,0, 0.045, 0.000, 0.049, 0.951, 0.002,5010,30.69,14,CR_REG_ADJ,96,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
SBR,1,0, 0.046, 0.000, 0.051, 0.949,-0.013,5010,42.23,14,SBR_REG_ADJ,96,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.045, 0.000, 0.049, 0.951, 0.002,5010,1643.17,14,CAA-MI-2-PBA-0.70_REG_ADJ,96,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CR,0,0, 0.049, 0.000, 0.053, 0.947, 0.002,5010,28.14,14,CR_REG_UN,96,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
SBR,0,0, 0.053, 0.000, 0.055, 0.945,-0.013,5010,39.74,14,SBR_REG_UN,96,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.049, 0.000, 0.053, 0.947, 0.002,5010,1641.04,14,CAA-MI-2-PBA-0.70_REG_UN,96,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CR,1,0, 0.065, 0.000, 0.069, 0.931, 0.009,5007,32.22,15,CR_REG_ADJ,96,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
SBR,1,0, 0.057, 0.000, 0.061, 0.939, 0.001,5010,43.35,15,SBR_REG_ADJ,96,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.065, 0.000, 0.069, 0.931, 0.009,5007,1653.54,15,CAA-MI-2-PBA-0.70_REG_ADJ,96,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
CR,0,0, 0.032, 0.000, 0.032, 0.968,-0.001,5007,27.76,15,CR_REG_UN,96,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
SBR,0,0, 0.024, 0.000, 0.025, 0.975,-0.007,5010,38.38,15,SBR_REG_UN,96,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.032, 0.000, 0.032, 0.968,-0.001,5007,1648.68,15,CAA-MI-2-PBA-0.70_REG_UN,96,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
CR,1,0, 0.049, 0.000, 0.053, 0.947, 0.002,5010,31.62,16,CR_REG_ADJ,96,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
SBR,1,0, 0.050, 0.000, 0.055, 0.945,-0.008,5010,43.06,16,SBR_REG_ADJ,96,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.049, 0.000, 0.053, 0.947, 0.002,5010,1648.26,16,CAA-MI-2-PBA-0.70_REG_ADJ,96,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
CR,0,0, 0.047, 0.000, 0.049, 0.951,-0.001,5010,28.13,16,CR_REG_UN,96,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
SBR,0,0, 0.035, 0.000, 0.037, 0.963,-0.006,5010,39.62,16,SBR_REG_UN,96,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.047, 0.000, 0.049, 0.951,-0.001,5010,1644.66,16,CAA-MI-2-PBA-0.70_REG_UN,96,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
CR,1,0,0.028,0.000,0.030,0.972,0.017,4924,31.96,17,CR_REG_ADJ,96,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,1,0,0.023,0.000,0.025,0.975,0.030,4942,43.17,17,SBR_REG_ADJ,96,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0,0.028,0.000,0.030,0.972,0.017,4924,1638.92,17,CAA-MI-2-PBA-0.70_REG_ADJ,96,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,0,0,0.019,0.000,0.022,0.980,0.014,4924,28.26,17,CR_REG_UN,96,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,0,0,0.018,0.000,0.020,0.982,0.014,4941,38.93,17,SBR_REG_UN,96,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0,0.019,0.000,0.022,0.980,0.014,4924,1635.27,17,CAA-MI-2-PBA-0.70_REG_UN,96,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,1,0, 0.047, 0.000, 0.051, 0.954, 0.007,5010,30.74,18,CR_REG_ADJ,96,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,1,0, 0.050, 0.000, 0.054, 0.954,-0.012,5010,42.2,18,SBR_REG_ADJ,96,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.047, 0.000, 0.051, 0.954, 0.007,5010,1647.13,18,CAA-MI-2-PBA-0.70_REG_ADJ,96,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,0,0, 0.050, 0.000, 0.052, 0.951, 0.004,5010,28.09,18,CR_REG_UN,96,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,0,0, 0.055, 0.000, 0.058, 0.951,-0.014,5010,39.63,18,SBR_REG_UN,96,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.050, 0.000, 0.052, 0.951, 0.004,5010,1644.65,18,CAA-MI-2-PBA-0.70_REG_UN,96,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,1,0, 0.066, 0.000, 0.069, 0.934, 0.022,5007,32.4,19,CR_REG_ADJ,96,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,1,0, 0.063, 0.000, 0.067, 0.937, 0.010,5010,43.69,19,SBR_REG_ADJ,96,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.066, 0.000, 0.069, 0.934, 0.022,5007,1638.95,19,CAA-MI-2-PBA-0.70_REG_ADJ,96,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,0,0, 0.035, 0.000, 0.036, 0.967,-0.019,5007,27.1,19,CR_REG_UN,96,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,0,0, 0.026, 0.000, 0.027, 0.973,-0.028,5010,38.6,19,SBR_REG_UN,96,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.035, 0.000, 0.036, 0.967,-0.019,5007,1634.11,19,CAA-MI-2-PBA-0.70_REG_UN,96,binary,0.1,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,1,0, 0.056, 0.000, 0.059, 0.943, 0.012,5010,31.2,20,CR_REG_ADJ,96,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,1,0, 0.055, 0.000, 0.060, 0.943, 0.000,5010,42.82,20,SBR_REG_ADJ,96,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.056, 0.000, 0.059, 0.943, 0.012,5010,1633.63,20,CAA-MI-2-PBA-0.70_REG_ADJ,96,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,0,0, 0.053, 0.000, 0.055, 0.951,-0.026,5010,27.58,20,CR_REG_UN,96,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,0,0, 0.037, 0.000, 0.038, 0.963,-0.033,5010,39.02,20,SBR_REG_UN,96,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.053, 0.000, 0.055, 0.951,-0.026,5010,1630.44,20,CAA-MI-2-PBA-0.70_REG_UN,96,binary,0.5,2,continuous,777,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,1,0,0.227,0.000,0.240,0.977,0.060,4755,32.12,21,CR_REG_ADJ,96,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
SBR,1,0,0.229,0.000,0.246,0.979,0.063,4755,43.43,21,SBR_REG_ADJ,96,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CAA-MI-2-PBA-0.70,1,0,0.227,0.000,0.240,0.977,0.060,4755,1655.5,21,CAA-MI-2-PBA-0.70_REG_ADJ,96,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CR,0,0,0.215,0.000,0.229,0.977,0.024,4755,28.24,21,CR_REG_UN,96,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
SBR,0,0,0.225,0.000,0.241,0.977,0.031,4755,39.93,21,SBR_REG_UN,96,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CAA-MI-2-PBA-0.70,0,0,0.215,0.000,0.229,0.977,0.024,4755,1652.21,21,CAA-MI-2-PBA-0.70_REG_UN,96,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CR,1,0,0.718,0.000,0.726,0.951,0.052,5010,30.31,22,CR_REG_ADJ,96,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
SBR,1,0,0.721,0.000,0.733,0.954,0.040,5010,42.19,22,SBR_REG_ADJ,96,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CAA-MI-2-PBA-0.70,1,0,0.718,0.000,0.726,0.951,0.052,5010,1635.75,22,CAA-MI-2-PBA-0.70_REG_ADJ,96,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CR,0,0,0.727,0.000,0.738,0.952,0.020,5010,27.11,22,CR_REG_UN,96,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
SBR,0,0,0.742,0.000,0.748,0.954,0.009,5010,38.93,22,SBR_REG_UN,96,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CAA-MI-2-PBA-0.70,0,0,0.727,0.000,0.738,0.952,0.020,5010,1632.55,22,CAA-MI-2-PBA-0.70_REG_UN,96,binary,0.5,2,continuous,777,0,1.09861228866811,0.05,1.1,3,1,0.5
CR,1,0, 0.391, 0.000, 0.399, 0.935, 0.134,4997,32.66,23,CR_REG_ADJ,96,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
SBR,1,0, 0.400, 0.000, 0.411, 0.933, 0.119,5003,43.7,23,SBR_REG_ADJ,96,binary,0.1,2,continuous,777,0,1.09861228866811,0.05,3,3,1,0.5
