"alloc_method","adjusted","rerandomized","power.pvalue","power.rerand","power.ci","coverage","bias","nsim","time_elapsed","modelno","method_name","trial_size","outcome_type","outcome_marginal_prevalence","prognostic_factor_number","prognostic_factor_type","prognostic_factor_prevalence","bT","bZ","alpha","prognostic_factor_effect_size","treatment_assignment_effect_size","entry_time_effect_size","allocation_ratio"
"CR","1","0"," 0.090"," 0.000"," 0.093"," 0.907","-4.536","3776","32.64","1","CR_REG_ADJ",32,"binary",0.1,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"SBR","1","0"," 0.096"," 0.000"," 0.101"," 0.899","13.408","3797","38.3","1","SBR_REG_ADJ",32,"binary",0.1,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","1","0"," 0.090"," 0.000"," 0.093"," 0.907","-4.536","3776","189.81","1","CAA-MI-2-PBA-0.70_REG_ADJ",32,"binary",0.1,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"CR","0","0"," 0.001"," 0.000"," 0.002"," 0.998","-0.009","3496","26.63","1","CR_REG_UN",32,"binary",0.1,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"SBR","0","0"," 0.000"," 0.000"," 0.001"," 0.999","-0.003","3510","34.14","1","SBR_REG_UN",32,"binary",0.1,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","0","0"," 0.001"," 0.000"," 0.002"," 0.998","-0.009","3496","185.92","1","CAA-MI-2-PBA-0.70_REG_UN",32,"binary",0.1,2,"continuous",777,0,0,0.05,1.1,1,1,0.5
CR,1,0, 0.030, 0.000, 0.040, 0.960, 0.012,5008,27.6,2,CR_REG_ADJ,32,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
SBR,1,0, 0.029, 0.000, 0.042, 0.958,-0.001,5010,34.27,2,SBR_REG_ADJ,32,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.030, 0.000, 0.040, 0.960, 0.012,5008,186.5,2,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CR,0,0, 0.028, 0.000, 0.044, 0.956, 0.006,5008,24.44,2,CR_REG_UN,32,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
SBR,0,0, 0.026, 0.000, 0.052, 0.948,-0.003,5010,31.74,2,SBR_REG_UN,32,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.028, 0.000, 0.044, 0.956, 0.006,5008,184.16,2,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,continuous,777,0,0,0.05,1.1,1,1,0.5
CR,1,0, 0.137, 0.000, 0.150, 0.850,-2.371,4593,30.33,3,CR_REG_ADJ,32,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
SBR,1,0, 0.133, 0.000, 0.149, 0.851, 5.363,4712,37.2,3,SBR_REG_ADJ,32,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.137, 0.000, 0.150, 0.850,-2.371,4593,188.91,3,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
CR,0,0, 0.004, 0.000, 0.008, 0.992, 0.018,4445,24.89,3,CR_REG_UN,32,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
SBR,0,0, 0.002, 0.000, 0.003, 0.997,-0.013,4580,32.02,3,SBR_REG_UN,32,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.004, 0.000, 0.008, 0.992, 0.018,4445,183.76,3,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,continuous,777,0,0,0.05,3,1,1,0.5
CR,1,0, 0.050, 0.000, 0.060, 0.940,-1.593,5007,28.08,4,CR_REG_ADJ,32,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
SBR,1,0, 0.046, 0.000, 0.059, 0.941,-0.070,5009,34.39,4,SBR_REG_ADJ,32,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.050, 0.000, 0.060, 0.940,-1.593,5007,185.73,4,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
CR,0,0, 0.029, 0.000, 0.045, 0.955, 0.003,5008,24.58,4,CR_REG_UN,32,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
SBR,0,0, 0.013, 0.000, 0.029, 0.971, 0.009,5010,31.77,4,SBR_REG_UN,32,binary,0.5,2,continuous,777,0,0,0.05,3,1,1,0.5
